id,postcode,value
138,KY14 7BL,324
139,KY14 7BN,140
140,KY14 7BP,361
141,KY14 7BQ,880
142,KY14 7BS,796
143,KY14 7BT,390
144,KY14 7BU,658
145,KY14 7BW,269
146,KY14 7BX,699
147,KY14 7BY,729
148,KY14 7BZ,358
149,KY14 7DA,584
150,KY14 7DD,326
151,KY14 7DE,215
152,KY14 7DF,766
153,KY14 7DG,456
154,KY14 7DH,405
155,KY14 7DJ,960
156,KY14 7DL,425
157,KY14 7DP,538
158,KY14 7DQ,664
159,KY14 7DS,670
160,KY14 7DT,776
161,KY14 7DU,420
162,KY14 7DW,679
163,KY14 7DX,151
164,KY14 7DY,859
165,KY14 7DZ,697
166,KY14 7EA,636
167,KY14 7EB,589
168,KY14 7ED,764
169,KY14 7EE,283
170,KY14 7EF,577
171,KY14 7EG,673
172,KY14 7EH,216
173,KY14 7EJ,235
174,KY14 7EL,330
175,KY14 7EN,643
176,KY14 7EP,263
177,KY14 7EQ,512
178,KY14 7ER,290
179,KY14 7ES,703
180,KY14 7ET,416
181,KY14 7EU,343
182,KY14 7EW,702
183,KY14 7EX,536
184,KY14 7EY,557
185,KY14 7EZ,989
186,KY14 7FA,415
187,KY14 7FB,859
188,KY14 7FG,210
189,KY14 7FH,818
190,KY14 7HA,314
191,KY14 7HB,988
192,KY14 7HD,484
193,KY14 7HE,193
194,KY14 7HF,276
195,KY14 7HG,399
196,KY14 7HH,380
197,KY14 7HJ,921
198,KY14 7HL,140
199,KY14 7HP,668
200,KY14 7HQ,789
201,KY14 7HR,893
202,KY14 7HS,923
203,KY14 7HT,628
204,KY14 7HX,352
205,KY14 7LA,498
206,KY14 7LB,311
207,KY14 7LD,861
208,KY14 7LE,580
209,KY14 7PA,799
210,KY14 7PP,296
211,KY14 7PR,242
212,KY14 7PS,203
213,KY14 7PT,334
214,KY14 7PU,204
215,KY14 7PW,361
216,KY14 7PX,465
217,KY14 7PY,346
218,KY14 7PZ,196
219,KY14 7QA,984
220,KY14 7QD,486
221,KY14 7QE,533
222,KY14 7QF,388
223,KY14 7QG,926
224,KY14 7QH,643
225,KY14 7QJ,153
226,KY14 7QL,641
227,KY14 7QN,154
228,KY14 7QP,406
229,KY14 7QQ,990
230,KY14 7QR,570
231,KY14 7QS,772
232,KY14 7QT,854
233,KY14 7QU,887
234,KY14 7QW,313
235,KY14 7QX,228
236,KY14 7QY,494
237,KY14 7QZ,541
238,KY14 7RA,422
239,KY14 7RE,752
240,KY14 7RF,565
241,KY14 7RG,995
242,KY14 7RH,556
243,KY14 7RJ,823
244,KY14 7RN,195
245,KY14 7RP,250
246,KY14 7RQ,629
247,KY14 7RR,409
248,KY14 7RS,260
249,KY14 7RT,497
250,KY14 7RU,232
251,KY14 7RW,200
252,KY14 7RX,436
253,KY14 7SE,907
254,KY14 7SF,900
255,KY14 7SG,790
256,KY14 7SH,841
257,KY14 7SJ,523
258,KY14 7SL,202
259,KY14 7SN,123
260,KY14 7SQ,365
261,KY14 7SR,399
262,KY14 7SS,719
263,KY14 7ST,302
264,KY14 7SU,739
265,KY14 7SW,781
266,KY14 7SX,737
267,KY14 7SY,471
268,KY14 7SZ,211
269,KY14 7TA,156
270,KY14 7TB,771
271,KY14 7TD,926
272,KY14 7YB,733
